Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand
Kochi,37124,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.44,8,Maruti
Delhi,44000,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,6.2,8,Maruti
Kolkata,45200,Petrol,Manual,First,13.2,1495.0,94.0,5.0,0.9,20,Hyundai
Mumbai,11000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.95,9,Maruti
Pune,65000,Petrol,Manual,Second,26.0,624.0,35.0,4.0,0.44,14,Tata
Ahmedabad,55005,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,13,Ford
Hyderabad,81650,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,7.5,14,Volkswagen
Hyderabad,67263,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.6,12,Maruti
Kochi,44223,Petrol,Manual,First,17.6,1496.0,88.7,5.0,3.99,13,Toyota
Coimbatore,36840,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64,10,Hyundai
Kolkata,133000,Diesel,Manual,First,16.8,1405.0,62.0,5.0,0.7,17,Tata
Mumbai,69123,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.0,10,BMW
Mumbai,5500,Petrol,Manual,First,21.56,1462.0,103.25,5.0,8.2,8,Maruti
Kolkata,1001,Diesel,Manual,First,25.83,1498.0,99.0,5.0,7.55,10,Ford
Pune,59000,Petrol,Manual,Third,15.26,1150.0,74.9,5.0,0.99,18,Chevrolet
Delhi,78256,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,4.15,14,Honda
Chennai,90000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,6.2,9,Nissan
Kolkata,18000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.4,9,Maruti
Kolkata,60000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.1,13,Ford
Jaipur,130000,Diesel,Manual,First,20.3,1248.0,75.0,5.0,2.2,14,Fiat
Coimbatore,32851,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.34,7,Hyundai
Kolkata,32000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35,11,Maruti
Hyderabad,62700,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.8,11,Ford
Jaipur,71000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.3,15,Maruti
Kochi,19947,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.04,9,Hyundai
Hyderabad,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,9.2,13,Ford
Hyderabad,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.7,11,Volkswagen
Kochi,55594,Diesel,Manual,First,18.49,1493.0,100.0,7.0,8.48,7,Mahindra
Hyderabad,110224,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.1,13,Renault
Ahmedabad,21002,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.75,15,Maruti
Pune,121000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.0,8,Maruti
Jaipur,73513,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.85,15,Maruti
Jaipur,34000,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.85,10,Maruti
Coimbatore,28371,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.74,8,Maruti
Kochi,74755,Diesel,Manual,First,19.6,1461.0,108.45,5.0,5.63,12,Renault
Kochi,25805,Petrol,Manual,First,18.2,1061.0,64.0,5.0,2.62,14,Maruti
Kochi,82603,Petrol,Manual,First,13.06,1598.0,102.53,5.0,4.9,10,Renault
Chennai,110000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.65,19,Honda
Delhi,88000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,5.99,13,Mahindra
Chennai,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5.0,2.4,14,Mahindra
Delhi,15000,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.25,8,Renault
Hyderabad,19000,Petrol,Manual,First,20.63,1198.0,67.0,5.0,2.99,9,Datsun
Chennai,37442,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.4,14,Hyundai
Mumbai,88000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.85,13,Maruti
Jaipur,42355,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.0,11,Hyundai
Coimbatore,75871,Petrol,Automatic,First,9.43,2996.0,254.0,5.0,14.12,14,BMW
Mumbai,65000,Diesel,Manual,First,17.9,1998.0,163.7,5.0,4.55,14,Chevrolet
Jaipur,79232,Diesel,Manual,First,21.1,1248.0,73.9,5.0,2.9,14,Maruti
Kochi,28470,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.95,9,Hyundai
Kolkata,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,2.75,11,Hyundai
Pune,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.1,11,Maruti
Chennai,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.75,8,Hyundai
Mumbai,59451,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.69,11,Maruti
Hyderabad,53996,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.45,12,Maruti
Kochi,15135,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.29,7,Honda
Chennai,53000,Petrol,Automatic,Second,16.9,1197.0,81.86,5.0,4.0,10,Hyundai
Kolkata,40000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2.9,12,Honda
Pune,21107,Petrol,Manual,First,17.1,1591.0,121.3,5.0,5.25,12,Hyundai
Mumbai,56000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5.75,11,Honda
Coimbatore,19623,Petrol,Manual,First,15.29,1591.0,121.3,5.0,13.12,8,Hyundai
Kochi,70963,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.83,11,Mahindra
Mumbai,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,3.15,12,Maruti
Mumbai,51450,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.4,12,Toyota
Pune,75000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.35,13,Maruti
Coimbatore,37832,Petrol,Automatic,First,22.5,998.0,67.0,5.0,5.23,8,Maruti
Coimbatore,43041,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.01,9,Hyundai
Hyderabad,97236,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.4,11,Honda
Chennai,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,12.75,15,BMW
Delhi,65000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.4,14,Ford
Kochi,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.71,7,Volkswagen
Kochi,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,5.49,10,Ford
Pune,73500,Petrol,Manual,Second,13.0,1343.0,90.0,5.0,1.3,21,Honda
Kolkata,55000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,8.5,11,Mahindra
Delhi,115000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,12.99,13,Toyota
Kolkata,31184,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0,8,Hyundai
Pune,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9.0,8,Maruti
Kochi,38143,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.22,9,Maruti
Pune,19030,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.8,13,Volkswagen
Coimbatore,20877,Petrol,Manual,First,18.16,1197.0,78.9,5.0,7.27,6,Toyota
Mumbai,23555,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.1,9,Maruti
Pune,61000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.9,12,Maruti
Kochi,4187,Petrol,Manual,First,26.0,624.0,35.0,4.0,1.38,13,Tata
Bangalore,46000,Petrol,Manual,First,13.4,1798.0,157.8,5.0,5.5,14,Skoda
Mumbai,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,7.25,9,Volkswagen
Coimbatore,83558,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.98,11,Hyundai
Hyderabad,40000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25,8,Tata
Kolkata,36000,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.95,12,Hyundai
Kochi,62162,Diesel,Manual,First,12.99,2494.0,100.0,7.0,8.31,12,Toyota
Pune,58000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,5.5,10,Hyundai
Kochi,62332,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,5.89,14,Honda
Kochi,50867,Diesel,Manual,First,20.34,1498.0,103.2,5.0,7.95,9,Volkswagen
Mumbai,73000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.75,15,Hyundai
Jaipur,98008,Diesel,Manual,First,22.7,1582.0,126.24,5.0,6.25,13,Hyundai
Hyderabad,36000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.95,10,Ford
Kochi,27339,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,6,Hyundai
Kolkata,25000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,8.65,8,Hyundai
Kolkata,37000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.5,11,Hyundai
Kolkata,27000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.45,10,Maruti
Kolkata,37000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.65,13,Hyundai
Kolkata,10500,Diesel,Manual,First,25.32,1198.0,77.0,5.0,4.7,8,Mahindra
Ahmedabad,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5.0,8.9,11,Hyundai
Mumbai,7000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,17.45,8,Jeep
Coimbatore,71256,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.58,8,Maruti
Kochi,83184,Petrol,Manual,First,14.28,1798.0,138.03,5.0,6.22,13,Toyota
Kolkata,87284,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.8,12,Mahindra
Pune,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,7.0,10,Hyundai
Bangalore,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5.0,6.5,12,Chevrolet
Jaipur,82000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,2.7,14,Hyundai
Mumbai,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,2.5,13,Honda
Delhi,58000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.95,10,Volkswagen
Chennai,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1,15,Hyundai
Pune,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4.0,3.5,16,Chevrolet
Hyderabad,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0,18,Hyundai
Delhi,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.35,11,Maruti
Delhi,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.8,12,Honda
Mumbai,17000,Petrol,Automatic,First,15.5,1595.0,122.0,5.0,17.25,9,Mercedes-Benz
Kochi,46493,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.53,7,Hyundai
Pune,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,1.95,16,Hyundai
Hyderabad,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.2,8,Maruti
Coimbatore,45535,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,19.41,11,Mini
Coimbatore,39228,Petrol,Manual,First,15.7,1368.0,112.4,5.0,6.58,9,Fiat
Mumbai,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5.0,2.1,14,Chevrolet
Chennai,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0,17,Hyundai
Delhi,54000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.7,10,Hyundai
Mumbai,53000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.8,11,Maruti
Jaipur,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.25,11,Hyundai
Coimbatore,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.53,10,Renault
Ahmedabad,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,10.9,14,BMW
Kolkata,1800,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.1,7,Hyundai
Hyderabad,96000,Petrol,Manual,Second,0.0,999.0,,5.0,2.2,18,Hyundai
Pune,44200,Petrol,Manual,Second,18.0,995.0,62.0,5.0,1.6,16,Chevrolet
Ahmedabad,14000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.25,7,Honda
Delhi,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,14.4,13,Toyota
Delhi,68000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.6,14,Honda
Delhi,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.6,11,Maruti
Kochi,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.12,9,Volkswagen
Kochi,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.52,9,Honda
Delhi,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,10.35,13,Audi
Hyderabad,56000,Petrol,Manual,First,15.0,1598.0,103.52,5.0,7.0,11,Skoda
Delhi,60000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85,14,Toyota
Mumbai,78563,Diesel,Manual,First,16.52,1991.0,123.7,5.0,2.35,15,Chevrolet
Mumbai,34669,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.9,11,Maruti
Delhi,17000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.65,8,Maruti
Delhi,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.4,9,Maruti
Pune,102418,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.1,11,Toyota
Kolkata,48800,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.25,11,Maruti
Pune,8200,Diesel,Manual,First,25.0,1396.0,69.0,5.0,4.4,8,Tata
Jaipur,100000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.25,13,Hyundai
Pune,78000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.8,13,Ford
Kolkata,50000,Diesel,Manual,First,18.2,1248.0,73.74,8.0,4.3,10,Chevrolet
Chennai,89327,Diesel,Manual,Third,17.8,1399.0,68.0,5.0,1.55,19,Ford
Chennai,98000,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,4.7,18,Honda
Kochi,24700,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.07,8,Honda
Delhi,9434,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.75,7,Hyundai
Mumbai,29000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.25,13,Maruti
Coimbatore,22440,Diesel,Automatic,First,22.0,1498.0,108.495,5.0,8.89,8,Volkswagen
Mumbai,73070,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.9,10,Honda
Kolkata,21771,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.95,9,Honda
Delhi,62000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.75,11,Maruti
Kochi,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,10.97,8,Hyundai
Kolkata,26008,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.97,11,Hyundai
Jaipur,90000,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,1.4,15,Ford
Coimbatore,35569,Petrol,Manual,First,17.0,1198.0,73.75,5.0,7.27,7,Volkswagen
Kolkata,40000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.0,12,Renault
Kolkata,45000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.75,10,Honda
Delhi,42000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,5.1,10,Hyundai
Coimbatore,46913,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,16.11,13,Audi
Delhi,62000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.55,11,Mahindra
Kolkata,69000,Diesel,Manual,First,18.7,1896.0,66.0,5.0,1.6,23,Skoda
Hyderabad,41367,Diesel,Automatic,First,15.8,2148.0,170.0,5.0,18.49,13,Mercedes-Benz
Kochi,15982,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.96,7,Maruti
Hyderabad,99595,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,4.75,12,Maruti
Bangalore,63000,Diesel,Manual,Third,13.1,2446.0,75.0,10.0,3.65,23,Toyota
Delhi,49000,Diesel,Automatic,Second,16.73,2495.0,218.0,5.0,15.5,13,BMW
Kochi,48272,Diesel,Manual,First,10.5,2835.0,116.9,6.0,11.82,12,Mitsubishi
Delhi,63000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,2.05,17,Toyota
Ahmedabad,77000,CNG,Manual,First,26.6,998.0,58.16,5.0,3.3,9,Maruti
Mumbai,11734,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.25,12,Maruti
Chennai,46000,CNG,Manual,First,25.0,1197.0,81.86,5.0,4.95,8,Hyundai
Coimbatore,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.48,9,Honda
Mumbai,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5.0,5.5,21,Mercedes-Benz
Jaipur,88000,Petrol,Manual,Second,13.0,1493.0,100.0,,1.7,20,Honda
Kochi,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.19,12,Audi
Mumbai,88000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,3.85,13,Maruti
Delhi,45376,Diesel,Manual,First,28.4,1248.0,73.75,5.0,5.75,9,Maruti
Pune,81000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.0,11,Mahindra
Kochi,83381,Petrol,Manual,First,18.6,1199.0,79.4,5.0,2.21,13,Chevrolet
Kochi,78526,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.09,8,Ford
Mumbai,21000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,2.6,16,Hyundai
Ahmedabad,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,12.0,9,Hyundai
Chennai,70000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,18.0,11,Audi
Mumbai,55000,Petrol,Automatic,Third,10.13,3498.0,364.9,5.0,9.99,18,Mercedes-Benz
Kolkata,58235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.45,13,Hyundai
Mumbai,26000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.99,8,Ford
Kolkata,35000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.15,14,Volkswagen
Jaipur,24000,Diesel,Manual,First,28.4,1248.0,73.75,5.0,8.2,8,Maruti
Ahmedabad,98000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11.5,9,Mahindra
Coimbatore,44487,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3,9,Hyundai
Chennai,65000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.59,17,Maruti
Delhi,34951,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.15,10,Hyundai
Kolkata,52373,Diesel,Manual,Second,15.4,2179.0,120.0,7.0,8.5,10,Mahindra
Hyderabad,66285,Diesel,Manual,First,19.5,1199.0,75.0,5.0,3.0,15,Skoda
Hyderabad,43000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.75,9,Honda
Mumbai,41000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.75,9,Mahindra
Kochi,39430,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8.29,8,Honda
Coimbatore,83274,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.79,11,Maruti
Mumbai,49999,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.8,14,Honda
Bangalore,66000,Diesel,Manual,First,15.3,2956.0,83.8,7.0,4.45,11,Tata
Delhi,54000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.3,13,Hyundai
Jaipur,80000,Diesel,Manual,Second,20.4,1248.0,91.2,5.0,1.75,16,Fiat
Bangalore,72000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,5.5,14,Honda
Pune,44865,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.35,8,Hyundai
Delhi,57478,Petrol,Manual,Second,17.0,1591.0,121.3,5.0,5.25,12,Hyundai
Hyderabad,75000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,3.75,14,Hyundai
Kochi,50624,Diesel,Manual,First,24.2,1498.0,98.6,7.0,6.32,10,Honda
Bangalore,75000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,7.75,7,Hyundai
Chennai,87000,Petrol,Manual,Second,15.3,1596.0,101.0,5.0,1.37,19,Ford
Mumbai,62000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.1,15,Hyundai
Hyderabad,41372,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.3,9,Maruti
Ahmedabad,70000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.0,10,Toyota
Hyderabad,71993,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.8,19,Maruti
Chennai,62000,Diesel,Automatic,Second,14.84,2143.0,170.0,5.0,12.5,12,Mercedes-Benz
Delhi,51000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.74,10,Maruti
Kochi,26038,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.43,9,Hyundai
Kolkata,78088,Petrol,Manual,First,12.4,1998.0,132.0,8.0,6.3,14,Toyota
Kochi,30453,Diesel,Manual,First,22.77,1498.0,98.59,5.0,8.45,8,Ford
Pune,54000,Petrol,Manual,First,18.16,1196.0,86.8,5.0,5.0,9,Ford
Hyderabad,65097,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.7,13,Maruti
Jaipur,111000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1.51,16,Maruti
Kochi,63295,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.09,12,Renault
Mumbai,35770,Petrol,Manual,First,20.73,1373.0,91.1,5.0,5.95,10,Maruti
Hyderabad,125928,Diesel,Manual,First,22.7,1582.0,126.24,5.0,9.0,13,Hyundai
Kolkata,45000,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,4.25,10,Skoda
Mumbai,54774,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,6.35,14,Honda
Chennai,41123,Petrol,Manual,First,23.1,998.0,67.04,5.0,3.4,11,Maruti
Pune,12000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.5,7,Maruti
Mumbai,34000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,19.25,13,Land
Hyderabad,71360,Diesel,Manual,First,21.9,1396.0,90.0,5.0,3.95,13,Hyundai
Mumbai,74000,Diesel,Manual,Second,28.4,1248.0,73.75,5.0,4.25,13,Maruti
Kochi,28937,Diesel,Manual,First,17.1,1956.0,170.0,5.0,17.02,7,Jeep
Hyderabad,82085,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.5,13,Maruti
Bangalore,68465,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.95,14,Ford
Coimbatore,63854,Diesel,Manual,First,21.43,1364.0,86.79,5.0,7.12,12,Toyota
Chennai,3000,Diesel,Automatic,First,24.3,1248.0,88.5,5.0,11.25,7,Maruti
Delhi,65055,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.75,16,Honda
Hyderabad,120000,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.0,10,Mahindra
Mumbai,64241,Petrol,Manual,First,20.14,1197.0,81.86,5.0,3.67,11,Hyundai
Pune,121000,Diesel,Manual,First,15.0,2148.0,,5.0,5.0,24,Mercedes-Benz
Pune,2200,Petrol,Manual,First,15.7,1390.0,75.0,5.0,2.3,17,Mahindra
Pune,88123,Diesel,Manual,First,18.7,1896.0,66.0,5.0,2.2,17,Skoda
Mumbai,23001,Petrol,Manual,First,15.04,1598.0,103.2,5.0,5.49,10,Volkswagen
Ahmedabad,82002,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,17.5,12,Audi
Bangalore,75000,Diesel,Manual,First,13.8,1399.0,68.0,5.0,1.99,16,Ford
Kochi,37451,Diesel,Manual,First,22.32,1582.0,126.3,5.0,6.64,9,Hyundai
Hyderabad,67000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.5,8,Toyota
Pune,25000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.0,9,Hyundai
Mumbai,12000,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.4,8,Volkswagen
Kolkata,25000,Petrol,Manual,First,25.17,799.0,53.3,5.0,2.99,8,Renault
Jaipur,95936,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.1,14,Honda
Kochi,5354,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.76,7,Hyundai
Chennai,42000,Petrol,Manual,Second,18.78,999.0,75.0,5.0,5.5,9,Volkswagen
Coimbatore,44282,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.99,11,Maruti
Delhi,70000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,2.59,13,Nissan
Pune,50000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.5,9,Maruti
Pune,21727,Petrol,Manual,First,15.6,1196.0,70.02,5.0,3.35,11,Ford
Bangalore,43000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,10.75,13,Hyundai
Kolkata,75000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.29,12,Mahindra
Bangalore,73557,Diesel,Manual,First,19.6,1461.0,108.45,5.0,7.75,11,Renault
Delhi,44555,Diesel,Automatic,First,15.2,1968.0,140.8,5.0,13.5,13,Audi
Coimbatore,54885,Petrol,Manual,First,15.1,1196.0,73.0,7.0,3.75,12,Maruti
Mumbai,76000,Diesel,Manual,Second,14.0,2498.0,112.0,7.0,3.75,14,Mahindra
Jaipur,101000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.5,19,Maruti
Chennai,66000,Petrol,Manual,First,14.0,1061.0,64.0,5.0,1.45,20,Maruti
Coimbatore,84360,Petrol,Manual,First,15.5,1586.0,103.3,5.0,4.12,12,Maruti
Mumbai,25121,Diesel,Manual,First,13.68,2393.0,147.8,7.0,17.11,9,Toyota
Pune,100000,Diesel,Manual,Second,12.99,2494.0,100.6,7.0,10.25,10,Toyota
Kolkata,66035,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.49,14,Volkswagen
Hyderabad,85670,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.25,11,Ford
Hyderabad,35000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.88,10,Hyundai
Mumbai,8000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.45,9,Honda
Kolkata,60000,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.99,13,Hyundai
Hyderabad,70600,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8,15,Hyundai
Hyderabad,75000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,4.3,13,Mahindra
Coimbatore,85071,Diesel,Automatic,First,20.0,1968.0,138.1,5.0,9.75,11,Skoda
Ahmedabad,40000,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.9,10,Maruti
Delhi,67000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5,12,Audi
Hyderabad,55000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2.4,16,Ford
Mumbai,62000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,2.11,17,Maruti
